-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.380ms         0.01%       1.380ms       1.347us          1024  
                                             aten::mean         0.01%       3.235ms         0.06%      17.791ms      33.822us       1.345ms         0.01%       1.345ms       2.557us           526  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.345ms         0.01%       1.345ms       2.627us           512  
                  _C_cache_ops::reshape_and_cache_flash         0.01%       2.039ms         0.02%       4.922ms       9.612us       1.301ms         0.01%       1.301ms       2.541us           512  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.301ms         0.01%       1.301ms       2.541us           512  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.073ms         0.01%       1.073ms       8.382us           128  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     936.155us         0.00%     936.155us      11.702us            80  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     927.839us         0.00%     927.839us       1.757us           528  
                                            aten::rsqrt         0.01%       2.051ms         0.03%       9.378ms      17.828us     899.196us         0.00%     899.196us       1.709us           526  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     899.196us         0.00%     899.196us       1.756us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     889.085us         0.00%     889.085us       1.736us           512  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     888.797us         0.00%     888.797us       0.842us          1056  
                                              aten::pow         0.01%       3.266ms         0.05%      12.830ms      24.392us     809.085us         0.00%     809.085us       1.538us           526  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     809.085us         0.00%     809.085us       1.580us           512  
                                 aten::_index_put_impl_         0.00%     764.590us         0.01%       2.779ms      28.945us     788.636us         0.00%       1.133ms      11.806us            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     788.636us         0.00%     788.636us      16.430us            48  
                                          aten::sigmoid         0.01%       2.408ms         0.02%       4.910ms       9.589us     764.414us         0.00%     764.414us       1.493us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     764.414us         0.00%     764.414us       1.493us           512  
                                  _triton_mrope_forward         0.00%       0.000us         0.00%       0.000us       0.000us     740.319us         0.00%     740.319us       1.446us           512  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us     684.542us         0.00%     684.542us      14.261us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     594.719us         0.00%     594.719us       1.162us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     494.910us         0.00%     494.910us       0.998us           496  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     486.717us         0.00%     486.717us       0.922us           528  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     457.023us         0.00%     457.023us       0.921us           496  
